;full_name;short_name;price;changes_per_today;changes_per_week;market_cap;volume24h;circulating_supply
1;Bitcoin;BTC;$39,101.07;+0.28%;+2.32%;$742,257,486,580;$23,393,353,662;18,983,050 BTC
2;Ethereum;ETH;$2,590.90;+0.13%;+2.26%;$310,790,989,019;$11,593,234,369;119,954,924 ETH
3;Tether;USDT;$1.00;+0.00%;-0.01%;$80,098,319,957;$51,527,487,867;80,081,716,146 USDT
4;BNB;BNB;$369.79;-0.74%;-1.19%;$61,058,217,556;$1,451,913,940;165,116,761 BNB
5;USD Coin;USDC;$0.9999;+0.02%;+0.01%;$52,446,160,751;$3,507,846,572;52,448,893,613 USDC
6;XRP;XRP;$0.771;-3.37%;+3.67%;$37,041,522,373;$2,377,068,154;48,046,106,688 XRP
7;Terra;LUNA;$93.76;+7.12%;+15.86%;$34,948,977,071;$3,365,258,578;372,750,205 LUNA
8;Cardano;ADA;$0.8044;+1.69%;-1.13%;$27,098,754,808;$1,071,564,480;33,687,343,870 ADA
9;Solana;SOL;$81.52;+0.25%;-1.23%;$26,069,579,630;$1,607,785,483;319,776,843 SOL
10;Avalanche;AVAX;$71.22;-0.38%;-3.31%;$18,970,346,842;$885,985,812;266,371,573 AVAX
11;Binance USD;BUSD;$0.9991;-0.11%;-0.18%;$17,991,932,637;$4,655,161,076;18,008,290,774 BUSD
12;Polkadot;DOT;$17.68;-1.60%;+7.41%;$17,457,025,268;$776,498,103;987,579,315 DOT
13;Dogecoin;DOGE;$0.1155;+0.04%;-3.63%;$15,323,395,616;$825,977,187;132,670,764,300 DOGE
14;TerraUSD;UST;$1.00;+0.00%;-0.04%;$14,683,492,974;$462,694,299;14,637,335,813 UST
15;Shiba Inu;SHIB;$0.00002202;-1.60%;-4.16%;$12,090,239,243;$662,135,928;549,063,278,876,302 SHIB
16;Wrapped Bitcoin;WBTC;$39,021.78;+0.09%;+2.29%;$10,646,084,978;$107,108,110;272,824 WBTC
17;Polygon;MATIC;$1.38;-1.70%;-2.44%;$10,597,772,983;$612,506,706;7,664,713,456 MATIC
18;Dai;DAI;$1.00;+0.06%;+0.06%;$9,829,940,560;$264,218,483;9,826,072,372 DAI
19;Cronos;CRO;$0.3847;-0.80%;-1.34%;$9,719,305,431;$47,140,499;25,263,013,692 CRO
20;Cosmos;ATOM;$26.85;-1.40%;-3.14%;$7,690,162,313;$541,347,758;286,370,297 ATOM
21;Litecoin;LTC;$105.22;-0.78%;+5.27%;$7,348,764,079;$697,738,970;69,840,431 LTC
22;NEAR Protocol;NEAR;$10.10;-1.58%;+2.00%;$6,542,735,602;$470,095,013;647,720,344 NEAR
23;Chainlink;LINK;$13.26;+0.34%;+1.87%;$6,191,671,386;$552,814,591;467,009,550 LINK
24;TRON;TRX;$0.06014;+0.28%;+1.72%;$6,117,183,238;$836,675,158;101,715,610,796 TRX
25;Uniswap;UNI;$8.51;-2.10%;+2.87%;$5,849,807,746;$156,508,319;687,245,316 UNI
